pdf_url,pdf_status_code,pdf_content_length
https://www.europarl.europa.eu/doceo/document/PV-4-1995-09-18_EN.pdf,200,118494
https://www.europarl.europa.eu/doceo/document/PV-4-1995-09-19_EN.pdf,200,62845
https://www.europarl.europa.eu/doceo/document/PV-4-1995-09-20_EN.pdf,200,72206
https://www.europarl.europa.eu/doceo/document/PV-4-1995-09-21_EN.pdf,200,66348
https://www.europarl.europa.eu/doceo/document/PV-4-1995-09-22_EN.pdf,200,42618
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-09_EN.pdf,200,65525
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-10_EN.pdf,200,72201
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-11_EN.pdf,200,61262
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-12_EN.pdf,200,57536
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-13_EN.pdf,200,24175
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-23_EN.pdf,200,61233
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-24_EN.pdf,200,39604
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-25_EN.pdf,200,65872
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-26_EN.pdf,200,58160
https://www.europarl.europa.eu/doceo/document/PV-4-1995-10-27_EN.pdf,200,24450
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-13_EN.pdf,200,61044
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-14_EN.pdf,200,55592
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-15_EN.pdf,200,50120
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-16_EN.pdf,200,103403
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-17_EN.pdf,200,29530
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-28_EN.pdf,200,46947
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-29_EN.pdf,200,36561
https://www.europarl.europa.eu/doceo/document/PV-4-1995-11-30_EN.pdf,200,21401
https://www.europarl.europa.eu/doceo/document/PV-4-1995-12-11_EN.pdf,200,87054
https://www.europarl.europa.eu/doceo/document/PV-4-1995-12-12_EN.pdf,200,60316
https://www.europarl.europa.eu/doceo/document/PV-4-1995-12-13_EN.pdf,200,64014
https://www.europarl.europa.eu/doceo/document/PV-4-1995-12-14_EN.pdf,200,96939
https://www.europarl.europa.eu/doceo/document/PV-4-1995-12-15_EN.pdf,200,59055
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-15_EN.pdf,200,57447
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-16_EN.pdf,200,59377
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-17_EN.pdf,200,34526
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-18_EN.pdf,200,63770
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-19_EN.pdf,200,29955
https://www.europarl.europa.eu/doceo/document/PV-4-1996-01-31_EN.pdf,200,34183
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-01_EN.pdf,200,24286
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-12_EN.pdf,200,51479
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-13_EN.pdf,200,52215
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-14_EN.pdf,200,55649
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-15_EN.pdf,200,50475
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-16_EN.pdf,200,33959
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-28_EN.pdf,200,35738
https://www.europarl.europa.eu/doceo/document/PV-4-1996-02-29_EN.pdf,200,25660
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-11_EN.pdf,200,48890
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-12_EN.pdf,200,60255
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-13_EN.pdf,200,106561
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-14_EN.pdf,200,101435
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-15_EN.pdf,200,26100
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-27_EN.pdf,200,53729
https://www.europarl.europa.eu/doceo/document/PV-4-1996-03-28_EN.pdf,200,34330
https://www.europarl.europa.eu/doceo/document/PV-4-1996-04-15_EN.pdf,200,62290
https://www.europarl.europa.eu/doceo/document/PV-4-1996-04-16_EN.pdf,200,55066
https://www.europarl.europa.eu/doceo/document/PV-4-1996-04-17_EN.pdf,200,49814
https://www.europarl.europa.eu/doceo/document/PV-4-1996-04-18_EN.pdf,200,59807
https://www.europarl.europa.eu/doceo/document/PV-4-1996-04-19_EN.pdf,200,27909
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-08_EN.pdf,200,43596
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-09_EN.pdf,200,32667
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-20_EN.pdf,200,92582
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-21_EN.pdf,200,48791
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-22_EN.pdf,200,46469
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-23_EN.pdf,200,55456
https://www.europarl.europa.eu/doceo/document/PV-4-1996-05-24_EN.pdf,200,31452
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-05_EN.pdf,200,39040
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-06_EN.pdf,200,70905
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-17_EN.pdf,200,49544
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-18_EN.pdf,200,62103
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-19_EN.pdf,200,55916
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-20_EN.pdf,200,99779
https://www.europarl.europa.eu/doceo/document/PV-4-1996-06-21_EN.pdf,200,35724
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-03_EN.pdf,200,39034
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-04_EN.pdf,200,27982
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-15_EN.pdf,200,47815
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-16_EN.pdf,200,103279
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-17_EN.pdf,200,95405
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-18_EN.pdf,200,102545
https://www.europarl.europa.eu/doceo/document/PV-4-1996-07-19_EN.pdf,200,29068
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-04_EN.pdf,200,40049
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-05_EN.pdf,200,23116
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-16_EN.pdf,200,50648
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-17_EN.pdf,200,67542
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-18_EN.pdf,200,93549
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-19_EN.pdf,200,60094
https://www.europarl.europa.eu/doceo/document/PV-4-1996-09-20_EN.pdf,200,56726
