date,pdf_url,pdf_status_code,pdf_content_length,html_url,html_status_code,html_content_length
1995-02-15,https://europarl.europa.eu/doceo/document/PV-4-1995-02-15_EN.pdf,200,41814,https://europarl.europa.eu/doceo/document/PV-4-1995-02-15_EN.html,200,0
1995-02-16,https://europarl.europa.eu/doceo/document/PV-4-1995-02-16_EN.pdf,200,71913,https://europarl.europa.eu/doceo/document/PV-4-1995-02-16_EN.html,200,0
1995-02-17,https://europarl.europa.eu/doceo/document/PV-4-1995-02-17_EN.pdf,200,38883,https://europarl.europa.eu/doceo/document/PV-4-1995-02-17_EN.html,200,0
1995-02-28,https://europarl.europa.eu/doceo/document/PV-4-1995-02-28_EN.pdf,200,39653,https://europarl.europa.eu/doceo/document/PV-4-1995-02-28_EN.html,200,0
1995-03-01,https://europarl.europa.eu/doceo/document/PV-4-1995-03-01_EN.pdf,200,32523,https://europarl.europa.eu/doceo/document/PV-4-1995-03-01_EN.html,200,0
1995-03-02,https://europarl.europa.eu/doceo/document/PV-4-1995-03-02_EN.pdf,200,19159,https://europarl.europa.eu/doceo/document/PV-4-1995-03-02_EN.html,200,0
1995-03-13,https://europarl.europa.eu/doceo/document/PV-4-1995-03-13_EN.pdf,200,65937,https://europarl.europa.eu/doceo/document/PV-4-1995-03-13_EN.html,200,0
1995-03-14,https://europarl.europa.eu/doceo/document/PV-4-1995-03-14_EN.pdf,200,74331,https://europarl.europa.eu/doceo/document/PV-4-1995-03-14_EN.html,200,0
1995-03-15,https://europarl.europa.eu/doceo/document/PV-4-1995-03-15_EN.pdf,200,61474,https://europarl.europa.eu/doceo/document/PV-4-1995-03-15_EN.html,200,0
1995-03-16,https://europarl.europa.eu/doceo/document/PV-4-1995-03-16_EN.pdf,200,72860,https://europarl.europa.eu/doceo/document/PV-4-1995-03-16_EN.html,200,0
1995-03-17,https://europarl.europa.eu/doceo/document/PV-4-1995-03-17_EN.pdf,200,32930,https://europarl.europa.eu/doceo/document/PV-4-1995-03-17_EN.html,200,0
1995-04-03,https://europarl.europa.eu/doceo/document/PV-4-1995-04-03_EN.pdf,200,74437,https://europarl.europa.eu/doceo/document/PV-4-1995-04-03_EN.html,200,0
1995-04-04,https://europarl.europa.eu/doceo/document/PV-4-1995-04-04_EN.pdf,200,57589,https://europarl.europa.eu/doceo/document/PV-4-1995-04-04_EN.html,200,0
1995-04-05,https://europarl.europa.eu/doceo/document/PV-4-1995-04-05_EN.pdf,200,58603,https://europarl.europa.eu/doceo/document/PV-4-1995-04-05_EN.html,200,0
1995-04-06,https://europarl.europa.eu/doceo/document/PV-4-1995-04-06_EN.pdf,200,77892,https://europarl.europa.eu/doceo/document/PV-4-1995-04-06_EN.html,200,0
1995-04-07,https://europarl.europa.eu/doceo/document/PV-4-1995-04-07_EN.pdf,200,45438,https://europarl.europa.eu/doceo/document/PV-4-1995-04-07_EN.html,200,0
1995-04-25,https://europarl.europa.eu/doceo/document/PV-4-1995-04-25_EN.pdf,200,38987,https://europarl.europa.eu/doceo/document/PV-4-1995-04-25_EN.html,200,0
1995-04-26,https://europarl.europa.eu/doceo/document/PV-4-1995-04-26_EN.pdf,200,25672,https://europarl.europa.eu/doceo/document/PV-4-1995-04-26_EN.html,200,0
1995-04-27,https://europarl.europa.eu/doceo/document/PV-4-1995-04-27_EN.pdf,200,19265,https://europarl.europa.eu/doceo/document/PV-4-1995-04-27_EN.html,200,0
1995-05-15,https://europarl.europa.eu/doceo/document/PV-4-1995-05-15_EN.pdf,200,67863,https://europarl.europa.eu/doceo/document/PV-4-1995-05-15_EN.html,200,0
1995-05-16,https://europarl.europa.eu/doceo/document/PV-4-1995-05-16_EN.pdf,200,81553,https://europarl.europa.eu/doceo/document/PV-4-1995-05-16_EN.html,200,0
1995-05-17,https://europarl.europa.eu/doceo/document/PV-4-1995-05-17_EN.pdf,200,76641,https://europarl.europa.eu/doceo/document/PV-4-1995-05-17_EN.html,200,0
1995-05-18,https://europarl.europa.eu/doceo/document/PV-4-1995-05-18_EN.pdf,200,89687,https://europarl.europa.eu/doceo/document/PV-4-1995-05-18_EN.html,200,0
1995-05-19,https://europarl.europa.eu/doceo/document/PV-4-1995-05-19_EN.pdf,200,45563,https://europarl.europa.eu/doceo/document/PV-4-1995-05-19_EN.html,200,0
1995-06-12,https://europarl.europa.eu/doceo/document/PV-4-1995-06-12_EN.pdf,200,69444,https://europarl.europa.eu/doceo/document/PV-4-1995-06-12_EN.html,200,0
1995-06-13,https://europarl.europa.eu/doceo/document/PV-4-1995-06-13_EN.pdf,200,65633,https://europarl.europa.eu/doceo/document/PV-4-1995-06-13_EN.html,200,0
1995-06-14,https://europarl.europa.eu/doceo/document/PV-4-1995-06-14_EN.pdf,200,51392,https://europarl.europa.eu/doceo/document/PV-4-1995-06-14_EN.html,200,0
1995-06-15,https://europarl.europa.eu/doceo/document/PV-4-1995-06-15_EN.pdf,200,59853,https://europarl.europa.eu/doceo/document/PV-4-1995-06-15_EN.html,200,0
1995-06-16,https://europarl.europa.eu/doceo/document/PV-4-1995-06-16_EN.pdf,200,44193,https://europarl.europa.eu/doceo/document/PV-4-1995-06-16_EN.html,200,0
1995-06-27,https://europarl.europa.eu/doceo/document/PV-4-1995-06-27_EN.pdf,200,42503,https://europarl.europa.eu/doceo/document/PV-4-1995-06-27_EN.html,200,0
1995-06-28,https://europarl.europa.eu/doceo/document/PV-4-1995-06-28_EN.pdf,200,15823,https://europarl.europa.eu/doceo/document/PV-4-1995-06-28_EN.html,200,0
1995-06-29,https://europarl.europa.eu/doceo/document/PV-4-1995-06-29_EN.pdf,200,32360,https://europarl.europa.eu/doceo/document/PV-4-1995-06-29_EN.html,200,0
1995-07-10,https://europarl.europa.eu/doceo/document/PV-4-1995-07-10_EN.pdf,200,78211,https://europarl.europa.eu/doceo/document/PV-4-1995-07-10_EN.html,200,0
1995-07-11,https://europarl.europa.eu/doceo/document/PV-4-1995-07-11_EN.pdf,200,63986,https://europarl.europa.eu/doceo/document/PV-4-1995-07-11_EN.html,200,0
1995-07-12,https://europarl.europa.eu/doceo/document/PV-4-1995-07-12_EN.pdf,200,67776,https://europarl.europa.eu/doceo/document/PV-4-1995-07-12_EN.html,200,0
1995-07-13,https://europarl.europa.eu/doceo/document/PV-4-1995-07-13_EN.pdf,200,64540,https://europarl.europa.eu/doceo/document/PV-4-1995-07-13_EN.html,200,0
1995-07-14,https://europarl.europa.eu/doceo/document/PV-4-1995-07-14_EN.pdf,200,52153,https://europarl.europa.eu/doceo/document/PV-4-1995-07-14_EN.html,200,0
1995-09-18,https://europarl.europa.eu/doceo/document/PV-4-1995-09-18_EN.pdf,200,118494,https://europarl.europa.eu/doceo/document/PV-4-1995-09-18_EN.html,200,0
1995-09-19,https://europarl.europa.eu/doceo/document/PV-4-1995-09-19_EN.pdf,200,62845,https://europarl.europa.eu/doceo/document/PV-4-1995-09-19_EN.html,200,0
1995-09-20,https://europarl.europa.eu/doceo/document/PV-4-1995-09-20_EN.pdf,200,72206,https://europarl.europa.eu/doceo/document/PV-4-1995-09-20_EN.html,200,0
1995-09-21,https://europarl.europa.eu/doceo/document/PV-4-1995-09-21_EN.pdf,200,66348,https://europarl.europa.eu/doceo/document/PV-4-1995-09-21_EN.html,200,0
1995-09-22,https://europarl.europa.eu/doceo/document/PV-4-1995-09-22_EN.pdf,200,42618,https://europarl.europa.eu/doceo/document/PV-4-1995-09-22_EN.html,200,0
1995-10-09,https://europarl.europa.eu/doceo/document/PV-4-1995-10-09_EN.pdf,200,65525,https://europarl.europa.eu/doceo/document/PV-4-1995-10-09_EN.html,200,0
1995-10-10,https://europarl.europa.eu/doceo/document/PV-4-1995-10-10_EN.pdf,200,72201,https://europarl.europa.eu/doceo/document/PV-4-1995-10-10_EN.html,200,0
1995-10-11,https://europarl.europa.eu/doceo/document/PV-4-1995-10-11_EN.pdf,200,61262,https://europarl.europa.eu/doceo/document/PV-4-1995-10-11_EN.html,200,0
1995-10-12,https://europarl.europa.eu/doceo/document/PV-4-1995-10-12_EN.pdf,200,57536,https://europarl.europa.eu/doceo/document/PV-4-1995-10-12_EN.html,200,0
1995-10-13,https://europarl.europa.eu/doceo/document/PV-4-1995-10-13_EN.pdf,200,24175,https://europarl.europa.eu/doceo/document/PV-4-1995-10-13_EN.html,200,0
1995-10-23,https://europarl.europa.eu/doceo/document/PV-4-1995-10-23_EN.pdf,200,61233,https://europarl.europa.eu/doceo/document/PV-4-1995-10-23_EN.html,200,0
1995-10-24,https://europarl.europa.eu/doceo/document/PV-4-1995-10-24_EN.pdf,200,39604,https://europarl.europa.eu/doceo/document/PV-4-1995-10-24_EN.html,200,0
1995-10-25,https://europarl.europa.eu/doceo/document/PV-4-1995-10-25_EN.pdf,200,65872,https://europarl.europa.eu/doceo/document/PV-4-1995-10-25_EN.html,200,0
1995-10-26,https://europarl.europa.eu/doceo/document/PV-4-1995-10-26_EN.pdf,200,58160,https://europarl.europa.eu/doceo/document/PV-4-1995-10-26_EN.html,200,0
1995-10-27,https://europarl.europa.eu/doceo/document/PV-4-1995-10-27_EN.pdf,200,24450,https://europarl.europa.eu/doceo/document/PV-4-1995-10-27_EN.html,200,0
1995-11-13,https://europarl.europa.eu/doceo/document/PV-4-1995-11-13_EN.pdf,200,61044,https://europarl.europa.eu/doceo/document/PV-4-1995-11-13_EN.html,200,0
1995-11-14,https://europarl.europa.eu/doceo/document/PV-4-1995-11-14_EN.pdf,200,55592,https://europarl.europa.eu/doceo/document/PV-4-1995-11-14_EN.html,200,0
1995-11-15,https://europarl.europa.eu/doceo/document/PV-4-1995-11-15_EN.pdf,200,50120,https://europarl.europa.eu/doceo/document/PV-4-1995-11-15_EN.html,200,0
1995-11-16,https://europarl.europa.eu/doceo/document/PV-4-1995-11-16_EN.pdf,200,103403,https://europarl.europa.eu/doceo/document/PV-4-1995-11-16_EN.html,200,0
1995-11-17,https://europarl.europa.eu/doceo/document/PV-4-1995-11-17_EN.pdf,200,29530,https://europarl.europa.eu/doceo/document/PV-4-1995-11-17_EN.html,200,0
1995-11-28,https://europarl.europa.eu/doceo/document/PV-4-1995-11-28_EN.pdf,200,46947,https://europarl.europa.eu/doceo/document/PV-4-1995-11-28_EN.html,200,0
1995-11-29,https://europarl.europa.eu/doceo/document/PV-4-1995-11-29_EN.pdf,200,36561,https://europarl.europa.eu/doceo/document/PV-4-1995-11-29_EN.html,200,0
1995-11-30,https://europarl.europa.eu/doceo/document/PV-4-1995-11-30_EN.pdf,200,21401,https://europarl.europa.eu/doceo/document/PV-4-1995-11-30_EN.html,200,0
1995-12-11,https://europarl.europa.eu/doceo/document/PV-4-1995-12-11_EN.pdf,200,87054,https://europarl.europa.eu/doceo/document/PV-4-1995-12-11_EN.html,200,0
1995-12-12,https://europarl.europa.eu/doceo/document/PV-4-1995-12-12_EN.pdf,200,60316,https://europarl.europa.eu/doceo/document/PV-4-1995-12-12_EN.html,200,0
1995-12-13,https://europarl.europa.eu/doceo/document/PV-4-1995-12-13_EN.pdf,200,64014,https://europarl.europa.eu/doceo/document/PV-4-1995-12-13_EN.html,200,0
1995-12-14,https://europarl.europa.eu/doceo/document/PV-4-1995-12-14_EN.pdf,200,96939,https://europarl.europa.eu/doceo/document/PV-4-1995-12-14_EN.html,200,0
1995-12-15,https://europarl.europa.eu/doceo/document/PV-4-1995-12-15_EN.pdf,200,59055,https://europarl.europa.eu/doceo/document/PV-4-1995-12-15_EN.html,200,0
1996-01-15,https://europarl.europa.eu/doceo/document/PV-4-1996-01-15_EN.pdf,200,57447,https://europarl.europa.eu/doceo/document/PV-4-1996-01-15_EN.html,200,0
1996-01-16,https://europarl.europa.eu/doceo/document/PV-4-1996-01-16_EN.pdf,200,59377,https://europarl.europa.eu/doceo/document/PV-4-1996-01-16_EN.html,200,0
1996-01-17,https://europarl.europa.eu/doceo/document/PV-4-1996-01-17_EN.pdf,200,34526,https://europarl.europa.eu/doceo/document/PV-4-1996-01-17_EN.html,200,0
1996-01-18,https://europarl.europa.eu/doceo/document/PV-4-1996-01-18_EN.pdf,200,63770,https://europarl.europa.eu/doceo/document/PV-4-1996-01-18_EN.html,200,0
1996-01-19,https://europarl.europa.eu/doceo/document/PV-4-1996-01-19_EN.pdf,200,29955,https://europarl.europa.eu/doceo/document/PV-4-1996-01-19_EN.html,200,0
